Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
90,21 May 2020 11:50:45,2,Expense,TEP,Platnet (USD),27.18,US Dollar,USD,,0,Unknown,UKN,68.51,US Dollar,USD,Digital Shopping,Domain,Digital Shopping: Domain,,Natcha,,
91,25 May 2020 19:06:23,2,Expense,TEP,Wisdom (KBank),62,Thai Baht,THB,,0,Unknown,UKN,1007571.33,Thai Baht,THB,Food,Snacks,Food: Snacks,,7-11,,
92,27 May 2020 02:00:39,3,Income,TIN,Primary (KBank),957.19,Thai Baht,THB,,0,Unknown,UKN,43549.76,Thai Baht,THB,Other,,Other,,,,
93,28 May 2020 21:52:06,4,Balance Adjustment,TBJ,Platnet (USD),-1.18,US Dollar,USD,,0,Unknown,UKN,67.33,US Dollar,USD,,,,,,,
94,28 May 2020 21:52:16,5,Money Transfer,TMT,Platnet (USD),67.33,US Dollar,USD,Primary (KBank),2150.25,Thai Baht,THB,0,US Dollar,USD,,,,,,,
95,29 May 2020 01:18:47,3,Income,TIN,Primary (KBank),43516.04,Thai Baht,THB,,0,Unknown,UKN,89216.05,Thai Baht,THB,Salary,,Salary,,Agoda,,
96,30 May 2020 15:34:24,2,Expense,TEP,YouTrip (USD),107.88,US Dollar,USD,,0,Unknown,UKN,225.85,US Dollar,USD,Digital Shopping,Services,Digital Shopping: Services,,,,
97,31 May 2020 23:39:06,5,Money Transfer,TMT,Primary (KBank),1187.51,Thai Baht,THB,World Mastercard (KTC),1187.51,Thai Baht,THB,88028.54,Thai Baht,THB,,,,,,,
98,1 Jun 2020 09:00:31,2,Expense,TEP,Primary (KBank),2390,Thai Baht,THB,,0,Unknown,UKN,85638.54,Thai Baht,THB,Gift,Birthday,Gift: Birthday,iPhone 11  Auto-generated transaction,Rungnapa,,
99,1 Jun 2020 10:00:13,2,Expense,TEP,Primary (KBank),1000,Thai Baht,THB,,0,Unknown,UKN,84638.54,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For daily spending  Auto-generated transaction,,,Couple
100,1 Jun 2020 10:00:38,2,Expense,TEP,Primary (KBank),2000,Thai Baht,THB,,0,Unknown,UKN,82638.54,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,For travel together  Auto-generated transaction,,,Couple
101,2 Jun 2020 00:28:35,5,Money Transfer,TMT,Primary (KBank),3366.67,Thai Baht,THB,Wisdom (KBank),3366.67,Thai Baht,THB,79271.87,Thai Baht,THB,,,,,,,
